,job_id,machine,start,completion
0,58,0.0,1.0,5.0
1,96,1.0,1.0,3.0
2,95,2.0,1.0,2.0
3,54,3.0,1.0,6.0
4,46,4.0,1.0,5.0
5,71,5.0,2.0,6.0
6,38,6.0,2.0,4.0
7,40,7.0,2.0,7.0
8,81,8.0,2.0,4.0
9,61,9.0,2.0,3.0
10,69,2.0,2.0,7.0
11,49,1.0,3.0,7.0
12,13,9.0,3.0,4.0
13,51,6.0,4.0,6.0
14,35,8.0,4.0,6.0
15,59,9.0,4.0,9.0
16,60,0.0,5.0,7.0
17,57,4.0,5.0,6.0
18,41,3.0,6.0,11.0
19,50,4.0,6.0,7.0
20,64,5.0,6.0,11.0
21,99,6.0,6.0,11.0
22,53,8.0,6.0,10.0
23,86,0.0,7.0,12.0
24,31,1.0,7.0,10.0
25,12,2.0,7.0,12.0
26,76,4.0,7.0,9.0
27,16,7.0,7.0,12.0
28,91,4.0,9.0,13.0
29,84,9.0,9.0,14.0
30,24,1.0,10.0,12.0
31,52,8.0,10.0,13.0
32,21,3.0,11.0,13.0
33,20,5.0,11.0,14.0
34,97,6.0,11.0,16.0
35,89,0.0,12.0,16.0
36,67,1.0,12.0,16.0
37,80,2.0,12.0,16.0
38,62,7.0,12.0,17.0
39,78,3.0,13.0,14.0
40,66,4.0,13.0,15.0
41,88,8.0,13.0,15.0
42,70,3.0,14.0,15.0
43,11,5.0,14.0,15.0
44,28,9.0,14.0,18.0
45,47,3.0,15.0,17.0
46,32,4.0,15.0,19.0
47,25,5.0,15.0,16.0
48,36,8.0,15.0,18.0
49,77,0.0,16.0,19.0
50,79,1.0,16.0,21.0
51,72,2.0,16.0,17.0
52,27,5.0,16.0,19.0
53,68,6.0,16.0,21.0
54,85,2.0,17.0,19.0
55,22,3.0,17.0,20.0
56,18,7.0,17.0,19.0
57,43,8.0,18.0,23.0
58,15,9.0,18.0,21.0
59,56,0.0,19.0,22.0
60,48,2.0,19.0,21.0
61,29,4.0,19.0,24.0
62,90,5.0,19.0,23.0
63,92,7.0,19.0,21.0
64,93,3.0,20.0,21.0
65,14,1.0,21.0,24.0
66,98,2.0,21.0,26.0
67,65,3.0,21.0,26.0
68,73,6.0,21.0,25.0
69,44,7.0,21.0,22.0
70,63,9.0,21.0,24.0
71,45,0.0,22.0,26.0
72,17,7.0,22.0,26.0
73,19,5.0,23.0,27.0
74,75,8.0,23.0,26.0
75,87,1.0,24.0,25.0
76,55,4.0,24.0,25.0
77,33,9.0,24.0,29.0
78,26,1.0,25.0,26.0
79,30,4.0,25.0,28.0
80,34,6.0,25.0,29.0
81,37,0.0,26.0,29.0
82,83,1.0,26.0,27.0
83,39,2.0,26.0,29.0
84,42,10.0,8.0,13.0
85,94,10.0,13.0,15.0
86,82,10.0,15.0,17.0
87,23,10.0,17.0,21.0
88,74,10.0,21.0,22.0
0,0,11.0,14.0,19.0
1,1,4.0,16.0,18.0
2,2,13.0,14.0,18.0
3,3,0.0,20.0,21.0
4,4,15.0,15.0,20.0
5,5,4.0,21.0,23.0
6,6,10.0,2.0,7.0
7,7,0.0,10.0,11.0
8,8,19.0,10.0,15.0
9,9,20.0,6.0,11.0
10,10,21.0,8.0,13.0
